ID;Mag (I);Mag (V);Period;Uncertainty Period;A.Mag (V);A.Mag (I);Dis. Mod. W;Distance 1;Distance2;Distance 3;Distance 1 +;Distance 1 -;Distance 2 +;Distance 2 -;Distance 3 +;Distance 3 -
OGLE-LMC-CEP-0986;12,41;13,35;31,050491;0,000482;-4,96;-6,03;18,50;45.852,66;48.681,96;51.149,88;45.853,04;45.852,28;48.682,41;48.681,51;50.041,60;50.034,21
OGLE-LMC-CEP-1058;12,48;13,39;30,398953;0,000517;-4,93;-6,00;18,54;46.115,46;49.599,06;48.957,18;46.115,87;46.115,04;49.599,56;49.598,56;50.955,40;50.947,49
OGLE-LMC-CEP-0821;12,61;13,75;25,803222;0,000113;-4,74;-5,79;18,49;49.984,33;47.863,52;50.591,68;49.984,45;49.984,21;47.863,65;47.863,40;49.836,68;49.835,26
OGLE-LMC-CEP-0535;12,64;13,57;17,275552;0,000149;-4,28;-5,27;17,45;37.118,35;38.181,40;50.566,74;37.118,52;37.118,18;38.181,60;38.181,21;30.880,92;30.879,30
OGLE-LMC-CEP-2019;12,70;13,64;28,103403;0,000237;-4,84;-5,90;18,53;49.617,77;52.593,20;48.364,04;49.617,99;49.617,55;52.593,46;52.592,93;50.790,16;50.785,39
OGLE-LMC-CEP-0467;12,71;13,67;22,717607;0,000212;-4,60;-5,63;18,45;44.905,30;46.473,56;51.415,08;44.905,53;44.905,08;46.473,82;46.473,30;49.009,20;49.006,80
OGLE-LMC-CEP-0712;12,74;13,62;20,704268;0,000459;-4,49;-5,50;17,54;41.857,76;44.602,72;49.698,59;41.858,25;41.857,26;44.603,31;44.602,13;32.234,04;32.227,33
OGLE-LMC-CEP-2176;12,77;13,85;23,049898;0,000074;-4,61;-5,64;18,48;49.234,01;48.102,58;48.898,52;49.234,10;49.233,93;48.102,67;48.102,48;49.616,72;49.615,15
OGLE-LMC-CEP-0801;12,85;13,74;21,262368;0,000285;-4,52;-5,54;18,80;44.786,24;47.670,87;48.135,80;44.786,56;44.785,92;47.671,25;47.670,49;57.498,15;57.494,43
OGLE-LMC-CEP-0501;12,86;13,52;23,307106;0,000321;-4,63;-5,66;17,63;42.602,86;50.610,84;52.321,71;42.603,18;42.602,55;50.611,26;50.610,43;33.641,46;33.637,70
OGLE-LMC-CEP-0973;12,86;14,05;10,465644;0,000307;-3,70;-4,62;18,47;35.461,33;31.404,53;50.894,21;35.461,88;35.460,77;31.405,08;31.403,99;49.440,10;49.436,01
OGLE-LMC-CEP-2023;12,89;13,80;16,223195;0,000224;-4,21;-5,19;18,43;39.830,23;41.282,63;48.804,74;39.830,52;39.829,94;41.282,97;41.282,29;48.573,84;48.568,52
OGLE-LMC-CEP-0935;12,96;13,88;21,117772;0,000384;-4,51;-5,53;18,61;47.748,76;49.829,33;47.233,44;47.749,22;47.748,30;49.829,87;49.828,79;52.768,86;52.762,81
OGLE-LMC-CEP-1080;12,97;13,97;18,661445;0,000077;-4,37;-5,37;18,65;46.439,20;46.542,10;51.648,32;46.439,31;46.439,10;46.542,21;46.541,98;53.637,78;53.636,48
OGLE-LMC-CEP-0819;12,98;14,03;22,317239;0,000080;-4,57;-5,60;18,66;52.647,05;52.119,34;51.209,34;52.647,15;52.646,95;52.119,45;52.119,23;53.879,03;53.878,17
OGLE-LMC-CEP-1587;12,98;13,98;21,610076;0,001023;-4,54;-5,56;18,58;50.525,02;51.151,21;46.173,91;50.526,29;50.523,74;51.152,66;51.149,77;51.959,40;51.941,26
OGLE-LMC-CEP-0844;13,03;13,88;17,210164;0,000237;-4,27;-5,27;18,48;42.649,03;45.674,03;49.407,85;42.649,35;42.648,72;45.674,40;45.673,65;49.655,98;49.652,41
OGLE-LMC-CEP-2949;13,05;14,09;19,222249;0,000369;-4,40;-5,41;18,56;49.905,85;49.104,08;49.893,15;49.906,36;49.905,34;49.104,64;49.103,52;51.642,61;51.635,98
OGLE-LMC-CEP-1833;13,09;14,06;19,163531;0,000059;-4,40;-5,40;18,55;49.254,05;50.017,84;53.940,51;49.254,13;49.253,97;50.017,93;50.017,75;51.202,29;51.201,19
OGLE-LMC-CEP-0538;13,11;14,01;18,487367;0,000543;-4,36;-5,36;18,75;47.088,11;49.364,83;48.726,72;47.088,85;47.087,37;49.365,70;49.363,97;56.152,40;56.147,26
OGLE-LMC-CEP-0079;13,11;14,12;22,543324;0,000229;-4,59;-5,62;18,53;55.018,86;55.694,27;52.053,91;55.019,16;55.018,56;55.694,61;55.693,93;50.777,01;50.775,96
OGLE-LMC-CEP-0787;13,22;14,14;17,520542;0,000298;-4,29;-5,29;18,56;48.624,41;50.199,62;49.215,83;48.624,86;48.623,97;50.200,13;50.199,11;51.445,68;51.441,92
OGLE-LMC-CEP-2056;13,22;14,08;15,843974;0,000023;-4,18;-5,16;18,59;44.784,47;47.275,80;50.608,06;44.784,50;44.784,44;47.275,84;47.275,76;52.354,90;52.354,36
OGLE-LMC-CEP-2534;13,22;14,12;18,715997;0,000151;-4,37;-5,37;18,52;49.976,03;52.384,43;49.450,33;49.976,24;49.975,81;52.384,68;52.384,18;50.498,89;50.495,43
OGLE-LMC-CEP-0970;13,24;14,20;17,459423;0,000067;-4,29;-5,28;18,67;49.916,48;50.675,15;49.398,37;49.916,58;49.916,38;50.675,27;50.675,03;54.288,39;54.287,38
OGLE-LMC-CEP-0727;13,25;14,11;14,489140;0,000027;-4,07;-5,04;18,22;43.410,70;45.569,89;49.962,79;43.410,74;43.410,65;45.569,94;45.569,84;44.060,29;44.059,92
OGLE-LMC-CEP-1641;13,27;14,13;13,962397;0,000049;-4,03;-4,99;18,61;42.855,70;44.924,49;50.601,50;42.855,78;42.855,62;44.924,58;44.924,39;52.728,62;52.727,70
OGLE-LMC-CEP-0546;13,28;14,03;15,215075;0,000347;-4,13;-5,11;18,50;42.947,15;47.505,59;50.578,77;42.947,68;42.946,63;47.506,24;47.504,94;50.041,86;50.038,35
OGLE-LMC-CEP-0545;13,28;14,24;15,831339;0,000123;-4,18;-5,16;18,48;48.299,48;48.711,58;49.958,77;48.299,68;48.299,28;48.711,81;48.711,36;49.709,19;49.707,70
OGLE-LMC-CEP-0360;13,29;14,32;22,087923;0,000181;-4,56;-5,59;18,60;59.893,36;59.555,63;48.466,69;59.893,62;59.893,10;59.555,92;59.555,34;52.585,84;52.584,24
OGLE-LMC-CEP-0847;13,30;14,33;20,639366;0,000055;-4,48;-5,50;18,60;57.949,25;57.669,72;49.426,77;57.949,34;57.949,17;57.669,81;57.669,63;52.378,18;52.377,43
OGLE-LMC-CEP-1031;13,31;14,38;18,469598;0,000218;-4,36;-5,36;18,52;55.884,10;54.171,21;54.486,15;55.884,45;55.883,75;54.171,59;54.170,82;50.498,58;50.495,21
OGLE-LMC-CEP-3203;13,33;14,15;13,400033;0,000242;-3,98;-4,94;18,68;42.391,09;45.168,05;51.144,69;42.391,50;42.390,68;45.168,54;45.167,57;54.467,67;54.460,92
OGLE-LMC-CEP-2780;13,34;14,58;23,110700;0,000422;-4,62;-5,65;18,53;69.036,09;62.582,21;55.158,45;69.036,76;69.035,42;62.582,89;62.581,53;50.853,04;50.842,76
OGLE-LMC-CEP-2944;13,35;14,31;20,319628;0,000289;-4,47;-5,48;18,60;56.836,46;58.331,42;53.544,13;56.836,89;56.836,03;58.331,91;58.330,92;52.451,24;52.444,54
OGLE-LMC-CEP-1578;13,39;14,19;13,283416;0,000016;-3,97;-4,93;18,51;42.839,80;46.085,74;52.173,13;42.839,83;42.839,77;46.085,78;46.085,71;50.246,88;50.246,59
